2898.5111856133076,2802.4,2706.2888143866926
2889.365915148458,2797.7,2706.0340848515416
2890.627590118914,2811.6,2732.5724098810856
2893.4212090232336,2820.8,2748.178790976767
2881.552321550431,2830.4,2779.2476784495693
2827.8777548684257,2817.1,2806.322245131574
2847.4684079202893,2809.5,2771.5315920797107
2847.8641857742987,2798.6,2749.335814225701
2851.8435486433586,2775.7,2699.556451356641
2833.7660483393793,2754.7,2675.6339516606204
2795.3974731517355,2730.1,2664.8025268482643
2772.108090085347,2710.3,2648.491909914653
2723.517001886717,2694.1,2664.682998113283
2723.744615494825,2680.8,2637.855384505175
2715.491238857686,2678.4,2641.3087611423143
2730.0357006978793,2683.1,2636.1642993021205
2767.489507162806,2698.4,2629.310492837194
2776.0529884829657,2706.2,2636.347011517034
2762.575340513974,2712.1,2661.624659486026
2767.748360215075,2718.2,2668.6516397849246
2796.561434583676,2730.2,2663.8385654163235
2808.156508889441,2734.6,2661.043491110559
2841.8713376153423,2751.0,2660.1286623846577
2982.180565816233,2811.1,2640.019434183767
3015.563128435209,2849.6,2683.636871564791
3021.8538157847543,2872.8,2723.746184215246
3004.96125449903,2894.0,2783.03874550097
2981.0412983934393,2910.8,2840.558701606561
2933.1147896636608,2899.3,2865.4852103363396
2944.823405319831,2902.3,2859.776594680169
3026.8204019381446,2927.8,2828.7795980618557
3028.5581198958007,2942.5,2856.4418801041993
3022.284065683573,2954.2,2886.115934316427
3024.6486099064987,2966.2,2907.751390093501
3026.1861641162964,2975.6,2925.0138358837035
3026.1861641162964,2975.6,2925.0138358837035
3072.473540343112,2996.9,2921.3264596568883
3066.345815112626,3008.7,2951.0541848873736
3064.5139155294796,3016.0,2967.4860844705204
3084.4309709881795,3033.4,2982.3690290118207
3180.613697826914,3063.8,2946.986302173086
3227.859481230621,3085.6,2943.340518769379
3235.5593733665323,3113.0,2990.4406266334677
3241.9591519394558,3151.4,3060.8408480605444
3343.79481258318,3205.0,3066.20518741682
3422.5785701472164,3243.4,3064.221429852784
3529.8646346138316,3302.4,3074.9353653861685
3508.9480992256244,3345.2,3181.451900774375
3465.9794216899654,3368.8,3271.620578310035
3469.411929813916,3377.2,3284.988070186084
3479.0,3363.0,3247.0
3409.627352022211,3322.6,3235.5726479777886
3390.7881919310917,3307.8,3224.8118080689087
3384.621373115448,3303.2,3221.7786268845516
3316.0684130077657,3286.8,3257.5315869922347
3322.404877686046,3289.6,3256.795122313954
3352.2963085723854,3307.6,3262.9036914276144
3425.285893529174,3334.2,3243.114106470826
3435.229056954746,3347.8,3260.3709430452545
3434.484609541979,3348.4,3262.3153904580213
3431.363843619525,3355.6,3279.8361563804747
3436.237789265533,3343.6,3250.9622107344667
3394.7326838115323,3309.2,3223.6673161884673
3359.7728634600167,3282.4,3205.0271365399835
3376.827828582417,3253.2,3129.5721714175825
3315.5478595154864,3226.2,3136.8521404845133
3271.1138215557485,3207.8,3144.486178444252
3254.3120479587196,3201.6,3148.88795204128
3257.195620262959,3202.4,3147.604379737041
3250.5147940986612,3218.4,3186.285205901339
3284.2522814101844,3232.2,3180.147718589815
3345.510209426851,3259.8,3174.0897905731495
3341.436379222094,3267.2,3192.963620777906
3341.0849624019747,3271.6,3202.115037598025
3380.909363441269,3296.0,3211.090636558731
